"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Trey Cochran-Gill","Athletics","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.53","6.73","4.30","4.74","0.0","0.0","999.0","sa827389"
"Jose Castillo","Padres","0","1","4.47","0","10","0","10.0","10","5","1","9","5","1.50","8.00","4.72","4.74","0.0","0.0","999.0","sa739762"
"Elieser Hernandez","Marlins","0","1","4.52","0","10","0","10.0","10","5","1","9","5","1.42","8.06","4.19","4.74","0.0","0.0","999.0","sa658203"
"Lewis Thorpe","Twins","0","0","4.53","0","10","0","10.0","10","5","2","10","5","1.42","8.68","4.19","4.74","0.0","0.1","999.0","sa739599"
"Kevin McCarthy","Royals","2","3","4.67","0","55","0","55.0","60","29","7","37","21","1.47","5.97","3.50","4.74","-0.1","0.0","999.0","15240"
"Brady Feigl","Rangers","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.48","7.22","3.95","4.74","0.0","0.0","999.0","sa824867"
"Matt Dermody","Blue Jays","2","2","4.59","0","35","0","35.0","36","18","6","27","11","1.37","7.04","2.94","4.74","0.0","0.0","999.0","14844"
"JC Ramirez","Angels","7","7","4.63","19","19","0","112.0","118","58","16","83","41","1.41","6.67","3.26","4.74","0.9","0.8","532.3","8302"
"Maikel Cleto","White Sox","0","0","4.54","0","1","0","1.0","1","1","0","1","1","1.44","9.69","4.91","4.74","0.0","0.0","999.0","5529"
"Matt Harvey","Mets","7","9","4.76","24","24","0","138.0","146","73","21","106","48","1.41","6.94","3.14","4.74","1.1","0.6","369.0","11713"
"Andrew Oliver","Brewers","0","0","4.57","0","1","0","1.0","1","1","0","1","1","1.48","8.84","4.77","4.74","0.0","0.0","999.0","10257"
"Rayan Gonzalez","Rockies","0","0","4.82","0","10","0","10.0","10","5","1","9","5","1.54","8.02","4.63","4.74","0.0","0.0","999.0","sa455370"
"Gage Smith","Brewers","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.44","6.82","3.25","4.74","0.0","0.0","999.0","sa709581"
"Jeff Ferrell","Tigers","0","0","4.61","0","1","0","1.0","1","1","0","1","0","1.37","7.95","3.46","4.74","0.0","0.0","999.0","11506"
"Jordan Lyles","Padres","5","8","4.78","19","19","0","106.0","114","56","14","78","42","1.48","6.60","3.58","4.74","0.8","0.4","707.0","7593"
"Domingo Tapia","Reds","0","0","4.65","0","0","0","1.0","1","1","0","1","0","1.43","7.66","3.71","4.74","0.0","0.0","999.0","sa547834"
"Antonio Senzatela","Rockies","4","5","4.97","13","13","0","73.0","80","40","11","59","27","1.46","7.25","3.33","4.74","0.9","0.9","662.0","15488"
"Tanner Rainey","Reds","0","0","4.48","0","1","0","1.0","1","0","0","1","1","1.52","9.96","5.85","4.74","0.0","0.0","999.0","sa874808"
"Josh Taylor","Diamondbacks","0","0","4.66","0","0","0","1.0","1","1","0","1","0","1.50","7.18","4.18","4.75","0.0","0.0","999.0","sa842224"
"Henry Hirsch","Pirates","0","0","4.76","0","1","0","1.0","1","1","0","1","0","1.50","7.50","4.19","4.75","0.0","0.0","999.0","sa738275"
"Seth Maness","Royals","0","0","4.73","0","1","0","1.0","1","1","0","1","0","1.44","5.21","2.65","4.75","0.0","0.0","999.0","12235"
"Austin House","Rockies","0","0","4.80","0","1","0","1.0","1","1","0","1","0","1.49","7.35","3.86","4.75","0.0","0.0","999.0","sa502193"
"Joe Blanton","","1","1","4.74","0","20","0","20.0","21","11","3","17","7","1.37","7.85","3.07","4.75","0.0","0.0","999.0","4849"
"Aroni Nina","Padres","0","0","4.53","0","1","0","1.0","1","1","0","1","1","1.52","8.04","4.98","4.75","0.0","0.0","999.0","sa506381"
"Daniel Gossett","Athletics","1","1","4.76","3","3","0","18.0","19","9","3","13","7","1.43","6.74","3.29","4.75","0.1","0.2","666.2","16164"
"Trey Nielsen","Cardinals","0","0","4.73","0","1","0","1.0","1","1","0","1","0","1.46","6.35","3.37","4.75","0.0","0.0","999.0","sa550155"
"Jake Smith","Padres","0","0","4.57","0","1","0","1.0","1","1","0","1","1","1.47","8.74","4.80","4.75","0.0","0.0","999.0","14379"
"Sandy Alcantara","Marlins","2","3","4.57","5","15","0","38.0","37","19","5","33","20","1.49","7.83","4.66","4.75","0.1","0.1","538.3","18684"
"Sam LeCure","Reds","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.41","7.59","3.57","4.75","0.0","0.0","999.0","4664"
"Marcus Walden","Red Sox","0","0","4.77","0","0","0","1.0","1","1","0","1","0","1.47","6.37","3.56","4.75","0.0","0.0","999.0","sa389195"
"Matt Pierpont","Rockies","0","0","4.78","0","1","0","1.0","1","1","0","1","0","1.43","7.85","3.63","4.75","0.0","0.0","999.0","sa738366"
"Kyle Freeland","Rockies","9","10","4.85","24","49","0","160.0","178","86","22","116","60","1.49","6.50","3.39","4.75","1.6","1.9","537.4","16256"
"Yovani Gallardo","Brewers","3","3","4.81","8","18","0","54.0","58","29","8","44","22","1.47","7.26","3.68","4.75","0.4","0.3","661.3","8173"
"Aaron Laffey","Rockies","0","0","4.78","0","1","0","1.0","1","1","0","1","0","1.48","6.30","3.29","4.76","0.0","0.0","999.0","6248"
"Williams Perez","Braves","0","0","4.82","0","0","0","1.0","1","1","0","1","0","1.49","6.81","3.68","4.76","0.0","0.0","999.0","11592"
"Robert Stock","Reds","0","0","4.59","0","1","0","1.0","1","1","0","1","1","1.52","8.08","4.85","4.76","0.0","0.0","999.0","sa500827"
"Joseph Colon","Indians","0","0","4.59","0","1","0","1.0","1","1","0","1","0","1.44","8.51","4.38","4.76","0.0","0.0","999.0","4920"
"Jeff Manship","Indians","0","0","4.64","0","1","0","1.0","1","1","0","1","0","1.46","7.43","3.92","4.76","0.0","0.0","999.0","6865"
"Brooks Brown","Rockies","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.48","7.36","3.71","4.76","0.0","0.0","999.0","5679"
"Zac Gallen","Marlins","0","1","4.68","2","2","0","9.0","10","5","1","7","3","1.39","6.62","3.07","4.76","0.1","0.1","709.0","sa857550"
"Steve Smith","Dodgers","0","0","4.62","0","1","0","1.0","1","1","0","1","0","1.40","7.43","3.49","4.76","0.0","0.0","999.0","sa456605"
"Luke Jackson","Braves","0","0","4.73","0","1","0","1.0","1","1","0","1","1","1.50","8.06","4.51","4.76","0.0","0.0","999.0","11752"
"Joe Thatcher","Astros","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.41","8.13","3.70","4.76","0.0","0.0","999.0","4620"
"Cory Taylor","Giants","0","0","4.63","0","0","0","1.0","1","1","0","1","0","1.50","6.62","4.22","4.76","0.0","0.0","999.0","sa875205"
"Pablo Lopez","Marlins","0","1","4.70","2","2","0","9.0","10","5","1","6","3","1.43","5.46","2.82","4.76","0.1","0.1","999.0","sa736473"
"Chris Jones","Angels","0","0","4.49","0","0","0","1.0","1","0","0","1","0","1.40","5.93","2.96","4.76","0.0","0.0","999.0","sa392067"
"Austin Voth","Nationals","4","4","4.66","8","28","0","66.0","69","34","10","52","26","1.44","7.03","3.58","4.76","0.3","0.3","999.0","sa621465"
"Vidal Nuno","Orioles","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.34","7.86","2.75","4.76","0.0","0.0","999.0","9674"
"Chris Powell","Dodgers","0","0","4.57","0","1","0","1.0","1","1","0","1","0","1.38","7.79","3.56","4.76","0.0","0.0","999.0","sa876337"
"Collin Balester","Reds","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.39","8.14","3.51","4.77","0.0","0.0","999.0","6883"
"Christopher Rearick","Padres","0","0","4.56","0","1","0","1.0","1","1","0","1","0","1.50","7.60","4.44","4.77","0.0","0.0","999.0","11050"
"Jason Marquis","Reds","0","0","4.80","0","0","0","1.0","1","1","0","1","0","1.39","6.80","2.69","4.77","0.0","0.0","999.0","105"
"Dakota Hudson","Cardinals","0","0","4.75","0","0","0","1.0","1","1","0","1","0","1.52","5.65","3.62","4.77","0.0","0.0","999.0","sa738673"
"James Needy","Marlins","0","1","4.70","2","2","0","9.0","10","5","1","7","4","1.44","6.86","3.55","4.77","0.1","0.1","999.0","sa501496"
"Spencer Turnbull","Tigers","0","1","4.69","0","10","0","10.0","10","5","1","8","4","1.47","7.11","3.81","4.77","0.0","0.0","999.0","sa827481"
"Blake Smith","White Sox","0","0","4.61","0","1","0","1.0","1","1","0","1","0","1.44","8.17","4.10","4.77","0.0","0.0","999.0","9780"
"Rafael Soriano","Cubs","0","0","4.68","0","1","0","1.0","1","1","0","1","0","1.38","8.01","3.47","4.77","0.0","0.0","999.0","1100"
"Luke Sims","Braves","0","1","4.70","2","2","0","9.0","9","5","1","9","4","1.43","8.87","4.33","4.77","0.1","0.1","654.3","13470"
"Neal Cotts","Twins","0","0","4.59","0","1","0","1.0","1","1","0","1","0","1.40","8.06","3.74","4.77","0.0","0.0","999.0","1797"
"Lay Batista","Marlins","0","0","4.60","0","1","0","1.0","1","1","0","1","1","1.51","7.92","4.80","4.77","0.0","0.0","999.0","sa505283"
"Brett Oberholtzer","Angels","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.36","6.36","2.86","4.77","0.0","0.0","999.0","3855"
"Hiroki Kuroda","Yankees","0","0","4.72","0","0","0","1.0","1","1","0","1","0","1.34","6.38","2.05","4.77","0.0","0.0","999.0","3283"
"Felix Doubront","Athletics","0","0","4.74","0","0","0","1.0","1","1","0","1","0","1.45","7.22","3.78","4.77","0.0","0.0","999.0","1478"
"Ryan Verdugo","","0","0","4.64","0","0","0","1.0","1","1","0","1","0","1.42","7.21","3.48","4.77","0.0","0.0","999.0","9154"
"Kyle Kaminska","Red Sox","0","0","4.80","0","1","0","1.0","1","1","0","1","0","1.40","6.88","3.04","4.77","0.0","0.0","999.0","sa392170"
"Scott Copeland","Blue Jays","0","0","4.75","0","0","0","1.0","1","1","0","1","0","1.47","6.29","3.54","4.77","0.0","0.0","999.0","10706"
"Ryan Dennick","Reds","0","0","4.55","0","1","0","1.0","1","1","0","1","0","1.45","7.32","3.77","4.77","0.0","0.0","999.0","9261"
"Ariel Hernandez","Reds","1","2","4.49","0","30","0","30.0","25","15","4","35","22","1.59","10.39","6.71","4.77","0.0","0.0","999.0","15603"
"Julio Teheran","Braves","9","12","4.81","29","29","0","179.0","187","96","30","150","59","1.37","7.57","2.96","4.77","1.3","1.2","238.4","6797"
"Mark Leiter","Phillies","6","7","4.76","19","19","0","110.0","113","58","18","96","39","1.38","7.84","3.16","4.77","1.1","0.8","567.8","15551"
"Ryan Weber","Mariners","0","0","4.77","0","0","0","1.0","1","1","0","1","0","1.42","5.29","2.45","4.77","0.0","0.0","999.0","10160"
"Casey Coleman","Royals","0","0","4.64","0","1","0","1.0","1","1","0","1","0","1.45","7.39","3.98","4.78","0.0","0.0","999.0","8270"
"Eric Carter","Cardinals","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.46","8.06","4.29","4.78","0.0","0.0","999.0","sa918629"
"Ronnie Shaban","Cardinals","0","0","4.70","0","1","0","1.0","1","1","0","1","0","1.44","7.14","3.62","4.78","0.0","0.0","999.0","sa577693"
"C.J. Wilson","Angels","0","0","4.54","0","0","0","1.0","1","1","0","1","0","1.43","7.36","3.87","4.78","0.0","0.0","999.0","3580"
"Jason Vargas","","8","9","4.69","24","24","0","136.0","144","71","22","104","43","1.37","6.89","2.84","4.78","1.1","1.2","450.0","8044"
"John Lackey","","9","11","4.91","29","29","0","172.0","182","94","30","143","53","1.36","7.47","2.76","4.78","1.4","1.1","448.1","1507"
"Casey Fien","Phillies","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.33","8.09","2.74","4.78","0.0","0.0","999.0","3926"
"Arturo Reyes","Cardinals","0","0","4.75","0","0","0","1.0","1","1","0","1","0","1.44","6.55","3.35","4.78","0.0","0.0","999.0","sa739006"
"Jake Esch","Padres","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.42","6.54","3.16","4.78","0.0","0.0","999.0","12756"
"Jairo Asencio","Orioles","0","0","4.77","0","1","0","1.0","1","1","0","1","0","1.43","7.71","3.48","4.78","0.0","0.0","999.0","3332"
"R.A. Dickey","Braves","0","0","4.69","0","0","0","1.0","1","1","0","1","0","1.40","6.89","3.12","4.78","0.0","0.0","676.0","1245"
"Tyler Warmoth","Angels","0","0","4.51","0","1","0","1.0","1","1","0","1","0","1.41","7.65","3.87","4.78","0.0","0.0","999.0","sa919526"
"Kyle Schepel","Nationals","0","0","4.66","0","1","0","1.0","1","1","0","1","1","1.48","8.63","4.73","4.78","0.0","0.0","999.0","sa731235"
"Yadier Alvarez","Dodgers","0","0","4.60","0","0","0","1.0","1","1","0","1","0","1.48","7.64","4.41","4.78","0.0","0.0","699.7","sa868984"
"Martin Perez","Rangers","8","8","4.84","23","23","0","135.0","155","73","18","84","49","1.51","5.61","3.26","4.78","1.3","1.2","655.4","6902"
"Lucas Luetge","Mariners","0","0","4.50","0","1","0","1.0","1","0","0","1","0","1.46","7.72","4.28","4.78","0.0","0.0","999.0","8337"
"Jonathan Aro","Mariners","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.34","8.23","3.35","4.79","0.0","0.0","999.0","14699"
"Chris Narveson","Marlins","0","0","4.47","0","1","0","1.0","1","0","0","1","0","1.40","7.03","3.54","4.79","0.0","0.0","999.0","2141"
"Brent Suter","Brewers","8","9","4.69","26","26","0","143.0","155","74","23","107","42","1.38","6.74","2.67","4.79","1.3","1.3","536.7","13942"
"Thyago Vieira","White Sox","1","1","4.58","0","20","0","20.0","19","10","3","19","10","1.46","8.57","4.59","4.79","0.0","0.0","698.6","14510"
"Zach Neal","Athletics","0","0","4.81","0","1","0","1.0","1","1","0","1","0","1.34","4.72","1.47","4.79","0.0","0.0","999.0","11294"
"Hector Velazquez","Red Sox","1","1","4.80","3","3","0","18.0","20","10","3","13","6","1.40","6.27","2.82","4.79","0.1","0.2","999.0","19341"
"Reinier Roibal","Phillies","0","0","4.70","0","1","0","1.0","1","1","0","1","0","1.36","7.98","3.11","4.79","0.0","0.0","999.0","sa553503"
"Tyler Mapes","Nationals","0","0","4.79","0","0","0","1.0","1","1","0","1","0","1.48","5.49","3.07","4.79","0.0","0.0","999.0","sa603121"
"Stefan Crichton","Orioles","1","1","4.75","0","30","0","30.0","32","16","5","24","11","1.44","7.22","3.40","4.79","0.0","0.0","999.0","16058"
"Dillon Gee","Twins","0","0","4.76","0","1","0","1.0","1","1","0","1","0","1.34","6.99","2.43","4.79","0.0","0.0","735.0","7396"
"Kyle Zimmer","Royals","2","2","4.71","3","18","0","33.0","33","18","5","29","14","1.41","7.91","3.89","4.79","0.1","0.1","999.0","sa621583"
"J.P. Howell","Blue Jays","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.50","6.53","3.97","4.79","0.0","0.0","999.0","8245"
"Esmerling De La Rosa","Marlins","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.43","7.67","4.06","4.79","0.0","0.0","999.0","sa550547"
"Matt Magill","Reds","0","0","4.65","0","1","0","1.0","1","1","0","1","0","1.43","8.56","4.19","4.79","0.0","0.0","999.0","3950"
"Kyle Ryan","Tigers","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.54","6.34","4.17","4.79","0.0","0.0","999.0","11753"
"Kevin McGowan","Mets","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.42","7.63","3.84","4.79","0.0","0.0","999.0","15215"
"Kevin Lenik","Royals","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.48","7.67","4.36","4.79","0.0","0.0","999.0","sa919332"
"Austin Davis","Phillies","0","0","4.53","0","1","0","1.0","1","1","0","1","0","1.44","8.55","4.33","4.79","0.0","0.0","999.0","sa829035"
"CC Sabathia","Yankees","9","8","4.69","24","24","0","138.0","146","72","22","113","49","1.40","7.36","3.16","4.79","1.4","1.3","351.9","404"
"David Garner","Cubs","0","0","4.60","0","1","0","1.0","1","1","0","1","1","1.51","8.91","5.23","4.80","0.0","0.0","999.0","sa549882"
"Joan Gregorio","Giants","1","1","4.62","3","3","0","18.0","18","9","3","16","9","1.42","7.97","4.18","4.80","0.1","0.1","999.0","sa547815"
"Chien-Ming Wang","Royals","0","0","4.77","0","1","0","1.0","1","1","0","1","0","1.46","5.25","2.95","4.80","0.0","0.0","999.0","2074"
"Jeff Beliveau","Blue Jays","0","0","4.61","0","1","0","1.0","1","1","0","1","1","1.46","9.04","4.68","4.80","0.0","0.0","999.0","8504"
"Alexi Ogando","Braves","0","0","4.74","0","1","0","1.0","1","1","0","1","1","1.50","8.10","4.53","4.80","0.0","0.0","999.0","10261"
"Mark Ecker","Tigers","0","0","4.68","0","1","0","1.0","1","1","0","1","0","1.45","8.19","4.23","4.80","0.0","0.0","999.0","sa918000"
"Austin McGeorge","Mets","0","0","4.59","0","1","0","1.0","1","1","0","1","1","1.59","7.96","5.46","4.80","0.0","0.0","999.0","sa918047"
"Michael Kohn","Braves","0","0","4.74","0","1","0","1.0","1","1","0","1","1","1.46","9.27","4.74","4.80","0.0","0.0","999.0","8505"
"Mitchell Harris","Cardinals","0","0","4.77","0","1","0","1.0","1","1","0","1","0","1.46","7.28","3.74","4.80","0.0","0.0","999.0","4530"
"Mark Lamm","Braves","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.47","7.23","3.91","4.80","0.0","0.0","999.0","sa545076"
"Daniel Mengden","Athletics","3","4","4.81","10","10","0","55.0","58","30","8","44","21","1.43","7.15","3.45","4.80","0.4","0.3","415.5","16980"
"Domingo German","Yankees","2","2","4.70","5","5","0","28.0","27","14","5","26","11","1.38","8.36","3.55","4.80","0.3","0.3","640.0","17149"
"Sean Marshall","Reds","0","0","4.55","0","1","0","1.0","1","1","0","1","0","1.50","7.37","4.39","4.80","0.0","0.0","999.0","5905"
"Glenn Sparkman","Blue Jays","0","0","4.77","0","1","0","1.0","1","1","0","1","0","1.38","7.43","3.17","4.80","0.0","0.0","999.0","15200"
"Ryan Deemes","Astros","0","0","4.74","0","1","0","1.0","1","1","0","1","0","1.42","7.48","3.54","4.80","0.0","0.0","999.0","sa876232"
"Trent Thornton","Astros","0","0","4.80","0","0","0","1.0","1","1","0","1","0","1.35","6.43","2.32","4.80","0.0","0.0","999.0","sa857695"
"Doug Fister","Rangers","10","11","4.90","29","29","0","168.0","185","92","25","127","62","1.46","6.77","3.30","4.81","1.5","1.5","553.8","9425"
"Wil Browning","Blue Jays","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.47","7.84","4.29","4.81","0.0","0.0","999.0","sa657837"
"Casey Weathers","Indians","0","0","4.65","0","1","0","1.0","1","1","0","1","0","1.49","7.90","4.49","4.81","0.0","0.0","999.0","sa327842"
"Luis Santos","Blue Jays","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.34","8.23","3.29","4.81","0.0","0.0","999.0","15006"
"Burke Badenhop","Reds","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.48","6.03","3.39","4.81","0.0","0.0","999.0","9736"
"Ryan Helsley","Cardinals","0","0","4.76","0","0","0","1.0","1","1","0","1","0","1.45","7.46","3.92","4.81","0.0","0.0","999.0","sa874172"
"R.J. Alvarez","Athletics","0","0","4.71","0","1","0","1.0","1","1","0","1","1","1.49","9.08","5.01","4.81","0.0","0.0","999.0","13401"
"Wade Miley","Orioles","0","0","4.72","0","0","0","1.0","1","1","0","1","0","1.49","7.34","3.84","4.81","0.0","0.0","665.7","8779"
"Alex Torres","Mets","0","0","4.48","0","1","0","1.0","1","0","0","1","1","1.56","8.61","5.63","4.81","0.0","0.0","999.0","7038"
"Carlos Portuondo","Reds","0","0","4.69","0","1","0","1.0","1","1","0","1","0","1.45","8.06","4.12","4.82","0.0","0.0","999.0","sa910266"
"Ronald Herrera","Rangers","1","1","4.73","0","25","0","25.0","26","13","4","20","8","1.37","7.36","2.98","4.82","0.0","0.0","999.0","15688"
"Brandon Finnegan","Reds","3","4","4.69","11","11","0","62.0","60","32","10","62","32","1.46","8.90","4.56","4.82","0.5","0.5","453.6","16208"
"Bryce Stowell","Rays","0","0","4.64","0","1","0","1.0","1","1","0","1","1","1.48","8.37","4.67","4.82","0.0","0.0","999.0","sa455267"
"Alex Muren","Twins","0","0","4.73","0","1","0","1.0","1","1","0","1","0","1.47","6.97","3.82","4.82","0.0","0.0","999.0","sa658181"
"Landon Beck","Cardinals","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.46","7.71","4.19","4.82","0.0","0.0","999.0","sa829390"
"Scott Lyman","Marlins","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.52","6.44","4.23","4.82","0.0","0.0","999.0","sa526467"
"Geoff Broussard","Reds","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.39","8.35","3.77","4.82","0.0","0.0","999.0","sa658572"
"Josh Tomlin","Indians","6","6","4.85","16","16","0","92.0","104","50","18","66","15","1.29","6.43","1.44","4.82","0.7","0.8","452.8","9388"
"Jose Leclerc","Rangers","3","3","4.57","0","55","7","55.0","47","28","8","64","37","1.52","10.42","6.09","4.82","-0.1","0.2","590.3","14524"
"Erasmo Ramirez","Mariners","7","8","4.81","23","23","0","126.0","135","68","21","98","40","1.38","6.94","2.83","4.82","0.9","0.8","455.3","10314"
