"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jesse Jenner","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".288",".360",".648",".281","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857727"
"Dustin Garneau","Athletics","8","29","26","6","1","0","1","3","3","2","7","0","0","0","",".217",".281",".368",".649",".281","","73","0.0","0.1","","-1.0","0.7","0.1","","725.0","9433"
"Brayan Pena","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".300",".341",".642",".281","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","3231"
"Saul Soto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".307",".324",".631",".281","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa211076"
"A.J. Pierzynski","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".287",".363",".650",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","746"
"Grayson Greiner","Tigers","8","30","27","6","1","0","1","3","3","2","7","0","0","0","",".229",".285",".359",".645",".280","","69","0.0","0.0","","-1.1","0.6","0.1","","999.0","sa828801"
"Hank Conger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".284",".359",".643",".280","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","2505"
"Anthony Bemboom","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".296",".344",".640",".280","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa579274"
"Mike Ohlman","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".294",".340",".635",".280","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","10347"
"David Ross","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".295",".356",".651",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","1551"
"Wyatt Mathisen","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".302",".332",".634",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657937"
"Bryan Holaday","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".284",".361",".645",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","11287"
"Raffy Lopez","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".291",".349",".640",".279","","72","0.0","0.0","","0.0","0.0","0.0","","741.0","12606"
"Luis Villegas","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".284",".359",".642",".278","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa547944"
"Jason Hagerty","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".290",".344",".634",".278","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa501451"
"Oscar Hernandez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".274",".371",".645",".278","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","13490"
